"","NRO","SEXO","EDAD","P1","P2A","P2B","P2C","P3","P4A","P4B","P4C","P5A","P5B","P5C","P5D","P5E","P5F","P5G","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15.1","P15.2","P16","P17.1","P17.2","P18","P19","P20","P21A","P21B","P21C","P21D","P21E","P21F","P22","P23","P24","P25","P26","P27A","P27B","P27C","P28","P29","P30","P31","P32A","P32B","P32C","P32D","P33.1","P33.2","P33.3","P34","P35A","P35B","P35C","P35D","P35E","P35F","P35G","P35H","P36A","P36B","P36C","P36D","P37.01","P37.02","P37.03","P37.04","P37.05","P37.06","P37.07","P37.08","P37.09","P37.10","P38.1","P38.2","P38.3","P39","P40","P41","P42","P43A","P43B","P43C","P43D","P43E","P43F","P43G","P44","P45A","P45B","P45C","P45D","P45E","P45F","P45G","P46A","P46B","P46C","P46D","P46E","P47","P48","P49","P50","P51","P52","P53","P54","P55","P56A","P56B","P56C","P56D","P56E","P56F","P56G","P56H","P56I","P57","P58","TFAM","NIVEDU","OCUPA","TRAB","JEFE","JNIVEDU","JOCUPA","BUSTRAB","JTRAB","SERVHI","BANOS","DOMES","CGAS","REFRI","LAVA","COMPRAS","INGRESO","GEDAD","TIPOVIVI","AVIVI","PISTAS","NIVEL","UBIGEO07","estrato","nse1","nsegrup","PESO","UBIGEO07","inseguridad07","inseguridad07100","rank_inseguridad07100","adaptk7.cluster"
"235",105,"Masculino",22,"Algo interesado","Aprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Aprueba","Desaprueba","Alguna","Poca","Alguna","Poca","Poca","Alguna","Alguna","Regular","Mejor","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","Permanece igual","Permanecerá igual","Algo mejor","Algo mejor","Son creativos","Quieren y valoran a su país","Calificación técnica insuficiente","Programa de educación en salud sexual y reproductiva","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera técnica","Regular","Regular","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","No","Serán mejores que los adultos de hoy","Algo","Sí","Sí","En desacuerdo","De acuerdo","De acuerdo","Se puede confiar en la mayoría de la gente",NA,"Ser de utilidad a la sociedad","La falta de trabajo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Violencia callejera","Corrupción","Robo en vivienda o local","Regular frecuencia","Ninguna frecuencia","Regular frecuencia","Mucha frecuencia","Regular frecuencia","Ninguna frecuencia","Regular frecuencia","Poca frecuencia","Sí","No","Sí","Sí","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista",NA,NA,NA,NA,NA,NA,NA,NA,"La pobreza y las desigualdades sociales","El bajo nivel educativo","Las carencias afectivas en el hogar","No",NA,NA,"Ha aumentado mucho","Poco eficaz","Muy eficaz","Bastante eficaz","Bastante eficaz","Poco eficaz","Bastante eficaz","Poco eficaz","La familia","Bueno","Bueno","Malo","Malo","Muy malo","Bueno","Bueno","Bueno","Bueno","Malo","Malo","Malo","En la lucha contra las drogas","Nunca aparecen cuando se les necesita","No",NA,"No",NA,NA,"Sí, todo","Sí","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Fue un buen gesto y allanó el caminó para resolver el proble",2,"Superior universitaria incompleta","Estudiante",NA,"Otra persona",NA,"Asalariado sector privado","No","Empleado no profesional de rango medio (cajero, vendedor)","Water / inodoro",1,"No","Sí","Sí","Sí","Mejores","Entre 2001 y 3000","18 a 29","Departamento en edificio","Medio","Asfaltado en regular o mal estado","Plano","150113            ","Lima Moderna","B","A/B",1.31613699793188,"150113            ",-0.348738167236415,49.4868670616665,170,3
"236",46,"Femenino",27,"Algo interesado","Aprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Aprueba","Alguna","Poca","Poca","Poca","Mucha","Alguna","Alguna","Regular","Igual","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","Permanece igual","Permanecerá igual","Permanece igual","Permanece igual","Son individualistas","No tienen interés en cambiar su realidad","Inestabilidad laboral","Programa de educación en salud sexual y reproductiva","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera técnica","Regular","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán peores que los adultos de hoy","Algo","Sí","Sí","En desacuerdo","De acuerdo","En desacuerdo","Es muy difícil confiar en los demás","6","Poder trabajar en lo que me gusta","La falta de trabajo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Violencia callejera","Secuestro","Atraco (con violencia o amenaza)",NA,"Ninguna frecuencia","Poca frecuencia","Regular frecuencia","Mucha frecuencia","Ninguna frecuencia","Regular frecuencia","Poca frecuencia","Sí","No","No","No",NA,"No llevar mucho dinero consigo","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista","Instalar rejas en su domicilio",NA,NA,NA,NA,NA,"La pobreza y las desigualdades sociales","El desempleo","Las carencias afectivas en el hogar","No",NA,NA,"Ha disminuido algo","Poco eficaz","Bastante eficaz","Poco eficaz","Muy eficaz","Poco eficaz","Poco eficaz","Bastante eficaz","El propio consumidor","Malo","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Malo","Bueno","Malo","Malo","Muy bueno","En la resolución de secuestros","Su presencia evitará que se cometan delitos","No",NA,"No",NA,NA,"Sí, una parte","Sí","No se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Las disculpas dadas no lo favorecen ni lo perjudican",6,NA,"Independiente / cuenta propia","Pescador / artesado","Otra persona",NA,"Retirado / jubilado","Sí",NA,"Water / inodoro",2,"No","Sí","No","No","Iguales","Entre 601 y 1000","18 a 29","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150105            ","Lima Antigüa","C","C",0.739960960664607,"150105            ",0.0436030550605652,57.8231498697273,243,2
"237",567,"Masculino",34,"Nada interesado",NA,NA,"Aprueba","Aprueba","Desaprueba","Aprueba","Desaprueba","Ninguna","Alguna","Poca","Poca","Alguna","Ninguna","Alguna","Regular","Igual","Insatisfecho","A veces un gobierno autoritario o una dictadura puede ser pr","Promover la economía privada de mercado es la única forma en","Permanece igual","Permanecerá igual","Permanece igual","Permanece igual","Son individualistas",NA,"Bajas remuneraciones","Programa de educación en salud sexual y reproductiva","Programa para incentivar las cualidades artísticas y deporti","Estudiar una carrera técnica","Mal","Mal","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán iguales que los adultos de hoy","Nada","Sí","Sí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asaltos con armas","Secuestro",NA,"Robo de vehículo","Regular frecuencia","Ninguna frecuencia","Regular frecuencia","Regular frecuencia","Mucha frecuencia","Ninguna frecuencia","Regular frecuencia","Poca frecuencia","No","No","No","No","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,NA,NA,"La pobreza y las desigualdades sociales","El desempleo",NA,"No",NA,NA,"Ha aumentado algo","Poco eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","Ninguno",NA,"Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","En la protección de funcionarios","Pueden acusarme de algo sin pretexto","No",NA,"No",NA,NA,"No",NA,"No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Las disculpas dadas no lo favorecen ni lo perjudican",5,"Secundaria completa","Asalariado sector público","Empleado poco especializado (vigilante, mensajero)","El propio entrevistado",NA,NA,"No",NA,"Water / inodoro",1,"No","Sí","Sí","No","Mejores","Entre 1001 y 1500","30 a 44","Casa independiente","Popular","Asfaltado en regular o mal estado","Inclinado","150108            ","Lima Sur","D","D/E",0.974422570166749,"150108            ",-0.320365603918747,50.0897140182543,183,3
"238",106,"Masculino",42,"Poco interesado","Aprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Aprueba","Alguna","Alguna","Alguna","Alguna","Alguna","Poca","Mucha","Buena","Igual","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","Algo mejor","Permanecerá igual","Algo mejor","Algo mejor","Son emprendedores","Son trabajadores","Falta de oportunidades de trabajo","Programa de educación en salud sexual y reproductiva","Programa para incentivar las cualidades artísticas y deporti","Estudiar una carrera universitaria","Regular","Bien","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","No","Serán mejores que los adultos de hoy","Poco","Sí","Sí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Violaciones, abusos o acosos sexuales","Secuestro","Venta de drogas","Robo al paso (de bolso, cartera, celular)","Poca frecuencia","Ninguna frecuencia","Poca frecuencia","Poca frecuencia","Poca frecuencia","Poca frecuencia","Regular frecuencia","Poca frecuencia","No","No","Sí","Sí","No llevar mucho dinero consigo","Evitar caminar por zonas apartadas o por lugares que conside","Instalar rejas en su domicilio",NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La poca dureza de las penas","La escasez de medios de la Policía","Sí","Robo de objetos en su vehículo","Mucho","Ha disminuido algo","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Muy eficaz","Muy eficaz","La familia","Bueno","Bueno","Bueno","Bueno","Muy bueno","Muy bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","En la lucha contra las drogas","Pueden ayudarme","No",NA,"No",NA,NA,"Sí, una parte","Sí","No se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","Los peruanos deben conocer más los logros y avances del Gobi","Fue un buen gesto y allanó el caminó para resolver el proble",5,NA,"Independiente / cuenta propia","Profesional independiente o profesor universitario","El entrevistado y otra persona en partes iguales",NA,NA,"Sí",NA,"Water / inodoro",2,"Sí","Sí","Sí","Sí","Mejores","Entre 2001 y 3000","30 a 44","Vivienda en quinta","Medio","Asfaltado en regular o mal estado","Plano","150113            ","Lima Moderna","B","A/B",1.31613699793188,"150113            ",0.487620239165242,67.2574193473648,326,2
"239",79,"Masculino",42,"Poco interesado","Desaprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Poca","Poca","Poca","Ninguna","Poca","Ninguna","Poca","Regular","Igual","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","Permanece igual","Permanecerá igual","Permanece igual","Permanece igual","Son emprendedores","Son trabajadores","Bajo nivel educativo","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera técnica","Mal","Mal","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","No","Serán peores que los adultos de hoy","Algo","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Violaciones, abusos o acosos sexuales","Hurto sin violencia","Violencia callejera","Robo al paso (de bolso, cartera, celular)","Poca frecuencia","Poca frecuencia","Regular frecuencia","Poca frecuencia","Poca frecuencia","Poca frecuencia","Regular frecuencia","Poca frecuencia","No","No","Sí","No","No llevar mucho dinero consigo","No llevar joyas u objetos valiosos a la vista",NA,NA,NA,NA,NA,NA,NA,NA,"La pobreza y las desigualdades sociales",NA,NA,"No",NA,NA,"Ha aumentado algo","Poco eficaz","Poco eficaz","Bastante eficaz","Poco eficaz","Poco eficaz","Bastante eficaz","Poco eficaz","La familia","Malo","Malo","Malo","Malo","Bueno","Malo","Malo","Malo","Malo","Malo","Malo","Bueno","En la protección de funcionarios","No actúan cuando deberían","No",NA,"No",NA,NA,"Sí, todo","Sí","Se cumplirá","No se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá",NA,"Las disculpas dadas no lo favorecen ni lo perjudican",8,"Superior universitaria incompleta","Independiente / cuenta propia","Empleado no profesional de rango medio (cajero, vendedor)","El propio entrevistado",NA,NA,"Sí",NA,"Water / inodoro",1,"No","Sí","Sí","No","Iguales","Entre 1001 y 1500","30 a 44","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150128            ","Lima Antigüa","C","C",0.739960960664607,"150128            ",0.0775837714889922,58.5451562408892,249,2
"240",11,"Femenino",23,"Nada interesado","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Poca","Poca","Alguna","Poca","Poca","Poca","Poca","Regular","Igual","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","Permanece igual","Permanecerá igual","Permanece igual","Permanece igual","Son emprendedores","Son individualistas","Falta de oportunidades de trabajo","Programa de control y rehabilitación del uso de drogas","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera técnica","Regular","Bien","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán iguales que los adultos de hoy","Nada","Sí","No","En desacuerdo","En desacuerdo","En desacuerdo","Es muy difícil confiar en los demás","5","Ganar mucho dinero","Las violaciones sexuales","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Agresiones físicas","Violencia callejera","Protestas o huelgas","Atraco (con violencia o amenaza)","Regular frecuencia","Poca frecuencia","Poca frecuencia","Regular frecuencia","Poca frecuencia","Poca frecuencia","Regular frecuencia","Poca frecuencia","No","No","Sí","No","No llevar mucho dinero consigo","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,NA,"El bajo nivel educativo",NA,NA,"No",NA,NA,"Ha aumentado algo","Poco eficaz","Poco eficaz","Poco eficaz","Poco eficaz","Bastante eficaz","Poco eficaz","Bastante eficaz","El propio consumidor","Bueno","Malo","Malo","Bueno","Malo","Malo","Malo","Malo","Malo","Bueno","Malo","Malo","En la protección de funcionarios","Pueden ayudarme","No",NA,"No",NA,NA,"Sí, una parte","No","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá",NA,"Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Las disculpas dadas no lo favorecen ni lo perjudican",4,"Secundaria completa","Ama de casa",NA,"Otra persona",NA,"Retirado / jubilado","Sí",NA,"Water / inodoro",1,"No","Sí","Sí","No","Iguales","Entre 601 y 1000","18 a 29","Vivienda en vecindad (callejón o corralón)","Popular","Asfaltado en regular o mal estado","Plano","150101            ","Lima Antigüa","C","C",0.739960960664607,"150101            ",-0.12086924413358,54.3285193739886,213,2
"241",386,"Masculino",57,"Nada interesado","Desaprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Poca","Alguna","Poca","Poca","Ninguna","Poca","Ninguna","Regular","Igual","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","Permanece igual","Permanecerá igual","Permanece igual","Permanece igual","Son rebeldes","Son creativos","Bajo nivel educativo","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Buscar trabajo","Mal","Mal","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","No","Serán peores que los adultos de hoy","Poco",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agresiones físicas","Asaltos con armas","Terrorismo","Atraco (con violencia o amenaza)","Poca frecuencia","Poca frecuencia","Regular frecuencia","Regular frecuencia","Poca frecuencia","Poca frecuencia","Regular frecuencia","Poca frecuencia","No","No","Sí","No","No llevar mucho dinero consigo","No salir de noche sin compañía","No llevar joyas u objetos valiosos a la vista",NA,NA,NA,NA,NA,NA,NA,"El desempleo",NA,NA,"No",NA,NA,"Ha aumentado algo","Poco eficaz","Poco eficaz","Bastante eficaz","Poco eficaz","Bastante eficaz","Poco eficaz","Poco eficaz","La familia","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Bueno","Malo","Bueno","Malo","En la protección de funcionarios","Nunca aparecen cuando se les necesita","Sí","Muy satisfactorio","No",NA,NA,"No",NA,"No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","Los peruanos deben conocer más los logros y avances del Gobi","Las disculpas dadas no lo favorecen ni lo perjudican",3,"Superior técnica completa","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","El propio entrevistado",NA,NA,"No",NA,"Water / inodoro",3,"No","Sí","Sí","No","Peores","Entre 1001 y 1500","45 o más","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150135            ","Lima Norte","C","C",1.00820283487116,"150135            ",-0.14480297108608,53.8199867366102,205,2
"242",73,"Femenino",22,"Poco interesado","Aprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Ninguna","Ninguna","Alguna","Poca","Poca","Ninguna","Ninguna","Regular","Igual","Insatisfecho","A veces un gobierno autoritario o una dictadura puede ser pr","Promover la economía privada de mercado es la única forma en","Algo mejor","Permanecerá igual","Algo mejor","Permanece igual","Son rebeldes","Son creativos","Inestabilidad laboral","Programa de educación en salud sexual y reproductiva","Programa de control y rehabilitación del uso de drogas","Estudiar una carrera técnica","Regular","Bien","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Sí","Serán iguales que los adultos de hoy","Poco","Sí","No","De acuerdo","En desacuerdo","De acuerdo","Es muy difícil confiar en los demás","5","Ser exitoso en mi trabajo","La falta de trabajo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Agresiones físicas","Secuestro","Robo en vivienda o local","Poca frecuencia","Regular frecuencia","Poca frecuencia","Poca frecuencia","Regular frecuencia","Poca frecuencia","Regular frecuencia","Poca frecuencia","No","No","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía",NA,NA,NA,NA,NA,NA,NA,NA,"El desempleo",NA,NA,"Sí","Robo al paso (de bolso, cartera, celular)","Poco","Ha aumentado algo","Poco eficaz","Poco eficaz","Bastante eficaz","Poco eficaz","Bastante eficaz","Poco eficaz","Poco eficaz","La familia","Bueno","Bueno","Malo","Malo","Malo","Malo","Bueno","Malo","Malo","Malo","Malo","Bueno","En las operaciones especiales","Nunca aparecen cuando se les necesita","Sí","Insatisfactorio","No",NA,NA,"Sí, una parte","Sí","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá",NA,NA,NA,NA,"No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Un Presidente no debe pedir disculpas porque le resta autori",5,"Superior técnica incompleta","Actualmente no trabaja",NA,"Otra persona","Superior técnica completa","Asalariado sector privado","Sí","Empleado no profesional de rango medio (cajero, vendedor)","Water / inodoro",1,"No","Sí","Sí","Sí","Iguales","Entre 1001 y 1500","18 a 29","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150128            ","Lima Antigüa","C","C",0.739960960664607,"150128            ",-0.13856448951285,53.9525390755739,207,2
"243",16,"Masculino",35,"Poco interesado","Aprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Alguna","Poca","Poca","Poca","Alguna","Alguna","Alguna","Buena","Igual","Satisfecho","A veces un gobierno autoritario o una dictadura puede ser pr","Promover una mayor participación del Estado en la economía e","Algo mejor","Mejorará mucho","Algo mejor","Algo mejor","Son rebeldes","Son creativos","Inestabilidad laboral","Programa de prevención del pandillaje y la violencia juvenil","Programa para incentivar la participación política de los jó","Estudiar una carrera técnica","Bien","Regular","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","Sí","Serán iguales que los adultos de hoy","Poco","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurto sin violencia","Asaltos con armas","Terrorismo","Robo de vehículo","Regular frecuencia","Regular frecuencia","Poca frecuencia","Poca frecuencia","Poca frecuencia","Regular frecuencia","Regular frecuencia","Poca frecuencia","Sí","No","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista","Instalar una alarma en su domicilio",NA,NA,NA,NA,NA,"El desempleo","La poca dureza de las penas","La ineficacia del sistema penitenciario","No",NA,NA,"Ha aumentado algo","Bastante eficaz","Poco eficaz","Poco eficaz","Poco eficaz","Bastante eficaz","Bastante eficaz","Poco eficaz","El propio consumidor","Bueno","Bueno","Malo","Malo","Malo","Bueno","Bueno","Bueno","Bueno","Malo","Malo","Malo","En la desactivación de explosivos","Su presencia evitará que se cometan delitos","No",NA,"No",NA,NA,"Sí, todo","Sí","No se cumplirá","No se cumplirá","No se cumplirá",NA,NA,NA,NA,NA,NA,"El Gobierno debe dar muestras de estar trabajando de manera ","Un Presidente no debe pedir disculpas porque le resta autori",4,"Secundaria incompleta","Independiente / cuenta propia","Obrero poco especializado / de limpieza","El propio entrevistado",NA,NA,"No",NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Iguales","Entre 300 y 600","30 a 44","Vivienda en vecindad (callejón o corralón)","Popular","Asfaltado en regular o mal estado","Plano","150101            ","Lima Antigüa","D","D/E",0.739960960664607,"150101            ",-0.280965693254056,50.9268648941941,192,3
"244",257,"Femenino",58,"Algo interesado","Aprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Aprueba","Desaprueba","Mucha","Mucha","Poca","Alguna","Alguna","Poca","Poca","Regular","Igual","Insatisfecho","A veces un gobierno autoritario o una dictadura puede ser pr","Promover la economía privada de mercado es la única forma en","Algo peor","Permanecerá igual","Mucho mejor","Algo peor","No tienen interés en cambiar su realidad",NA,"Falta de oportunidades de trabajo","Programa para incentivar la participación política de los jó",NA,"Estudiar una carrera universitaria","Regular","Muy bien","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán peores que los adultos de hoy","Algo","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agresiones físicas","Hurto sin violencia","Venta de drogas","Robo de objetos en su vehículo","Poca frecuencia","Regular frecuencia","Regular frecuencia","Regular frecuencia","Poca frecuencia","Regular frecuencia","Regular frecuencia","Poca frecuencia","No","Sí","No","No","No salir de noche sin compañía",NA,NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas",NA,NA,"Sí","Robo en vivienda o local","Algo","Ha aumentado mucho","Bastante eficaz","Muy eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Muy eficaz","La familia","Muy bueno","Bueno","Bueno","Bueno","Muy bueno","Malo","Malo","Bueno","Muy bueno","Bueno","Malo","Malo","En la lucha contra la delincuencia callejera","Le inspiran confianza","Sí","Satisfactorio","No",NA,NA,"Sí, todo","Sí","No se cumplirá",NA,"Se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Fue un buen gesto y allanó el caminó para resolver el proble",2,NA,"Otro",NA,"Otra persona","Superior universitaria incompleta","Retirado / jubilado","No",NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Iguales",NA,"45 o más","Casa independiente","Medio","Asfaltado en buen estado","Plano","150110            ","Lima Norte","B","A/B",1.00820283487116,"150110            ",-0.527286162781629,45.6931627525367,142,3
"245",387,"Masculino",82,"Poco interesado","Aprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Alguna","Poca","Poca","Poca","Poca","Ninguna","Alguna","Regular","Igual","Insatisfecho","A veces un gobierno autoritario o una dictadura puede ser pr","Promover una mayor participación del Estado en la economía e","Algo mejor","Permanecerá igual","Algo mejor","Algo mejor","Son trabajadores","Son creativos","Bajo nivel educativo","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera universitaria","Regular","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán iguales que los adultos de hoy","Algo","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurto sin violencia","Asaltos con armas","Violencia callejera","Robo de vehículo","Regular frecuencia","Regular frecuencia","Poca frecuencia","Poca frecuencia","Regular frecuencia","Regular frecuencia","Regular frecuencia","Poca frecuencia","No","No","No","No","No llevar mucho dinero consigo","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El desempleo","La poca dureza de las penas","No",NA,NA,"Ha aumentado algo","Bastante eficaz","Poco eficaz","Bastante eficaz","Bastante eficaz","Poco eficaz","Bastante eficaz","Poco eficaz","La policía","Malo","Malo","Malo","Malo","Malo","Bueno","Malo","Bueno","Muy malo","Malo","Malo","Muy malo","En la desactivación de explosivos","Nunca aparecen cuando se les necesita","No",NA,"No",NA,NA,"Sí, todo","Sí","Se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","Los peruanos deben conocer más los logros y avances del Gobi","Un Presidente no debe pedir disculpas porque le resta autori",17,"Primaria completa","Retirado / jubilado",NA,"El propio entrevistado",NA,NA,"No",NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Iguales","Entre 300 y 600","45 o más","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150135            ","Lima Norte","D","D/E",1.00820283487116,"150135            ",-0.474979872511461,46.8045423465029,156,3
